predicted_label,komentar
alih fungsi hutan,moga usut tuntas tutup usaha yg rusak lingkung
pembalakan liar,sy bikin short movie trs lanjut bahas nih bala hutan
komentar biasa,barang bukti tinggal tangkap laku
alih fungsi hutan,pecatt tri hutan jugaa jirr klo gk indonesia gk hutan imbang alam ini
pembalakan liar,jabat perintah kalo kompeten bidang undur ganti orang yg kompeten bidang orang orang yg jujur kompeten kalo mundur
alih fungsi hutan,ga sekepo googlr maps pas lihat berita lgsung cari tau bener yg lingkar hijau area coklat hutan udah babat habiss kayu bawa air danau singkarak
kebijakan pemerintah,guna ferry irwandi banding dpr perintah jajar
sosial kemanusiaan,milliar ga loh alhamdulillah perintah ga becus rakyat msh bs bantu rakyat
kebijakan pemerintah,guna ferry irwandi wapres
kebijakan pemerintah,awas kena pajak
sosial kemanusiaan,wakil rakyat sungguh
sosial kemanusiaan,rakyat bantu rakyat
sosial kemanusiaan,rakyat bantu rakyat
alih fungsi hutan,ga bikin komunitas untk tanam pohon
sosial kemanusiaan,silvia tjan lo
sosial kemanusiaan,warga bantu warga
sosial kemanusiaan,guna warga tiktok dr pda anggota dpr
sosial kemanusiaan,the real influencer
pembalakan liar,udah minggu ungsi makan indomie terusitupun yg sumbang kendara pinggir jalan orang kaya kampung kayak yg asam lambung langsung mualbaju cuci kering pakai sumbang baju sisa baju badankami butuh bajuobat obat selimut tidur tikar karton bekas aku aceh utara
kebijakan pemerintah,rakyat bantu rakyat perintah makan uang rakyat
kebijakan pemerintah,klo ferry irwandi jdi ketua dpr merdeka negara gada lgi sarang tikus
sosial kemanusiaan,kak ferry irwandi masyarakar cmn butuh jam kumpulkn donasi m anggota dpr serta jajar rapat minggu minggu bulan tahun tolong masyarakat
sosial kemanusiaan,rakyat rakyat wakil rakyat mana
sosial kemanusiaan,beneran rakyat rakyat
sosial kemanusiaan,ferry irwandi gelar pahlawan wakil rakyat
kebijakan pemerintah,w abang ferry irwandi
pembalakan liar,manusia guna jabat
sosial kemanusiaan,masyaa allah anak muda iniberguna banget hidup anak mudabangga
sosial kemanusiaan,real rakyat rakyat
pembalakan liar,gokil cocok ganti gibran pritt pritt
pembalakan liar,anak rantau mang turun abang fery main layar
komentar biasa,orang baikberpengaruh kek gin aja yg ga suka njir
kebijakan pemerintah,perintah uang biar yg saudara sumatra
sosial kemanusiaan,rakyat rakyat
sosial kemanusiaan,ferry irwandy nih banget sm profesor money heist ga si
sosial kemanusiaan,perintah neng banget dana apbn ga pake uang rakyat
kebijakan pemerintah,bencana parah d sumatra kau bilang bencana nasional lawak perintah pusat
sosial kemanusiaan,heran postingan bencana sumatra narasi pojok indonesia jawa fokus satu tangan salah
alih fungsi hutan,ka guru sekolah nyumbang sumatera aceh kena musibah
komentar biasa,berita fyp
komentar biasa,kiamat gak si
sosial kemanusiaan,rekam cctv masjid sibolga sumpah gk tega banget almarhum
kebijakan pemerintah,presiden tri tanggung
sosial kemanusiaan,mikir gmn yg bayi lansia anak orang tua orang yg haid yg hamil yg lahir
alih fungsi hutan,pray for sumatra aceh medan
sosial kemanusiaan,air gede sungai laut ya
sosial kemanusiaan,ges tolong rumah hancur
sosial kemanusiaan,pray for saudara kena musibah banjir longsor moga selamat baik
perubahan iklim,iini tsunami banjir bandang
sosial kemanusiaan,gak rekam kamera ngeri ya doa berikansemoga segara buka cahaya terang aamiin
sosial kemanusiaan,prayfor sumbar ajar kisah banjir allah cipta nya bawa jdi ush bangga milik hamba allah miskin kaya smua derajat sisi allah subhanallah wataala
sosial kemanusiaan,salfok masjidmusholah diri kokoh kuasa nyata ya alllah
kebijakan pemerintah,orang batak jokowi presiden baik
sosial kemanusiaan,serius nanya mrka udh dpt tolong blm si dri pmerintah kaya sandang pangan kasi bgtt woy kalo donasi jg bngung kmna
kebijakan pemerintah,gong nya bencana nyata bencana nasional perintah anjj
sosial kemanusiaan,ya dekat desember musibah manakecelakaanlongsor banjir ya alloh libdunggi keluarga hamba mana amin yra
sosial kemanusiaan,bencana krn ulah manusia nya mari intropeksi benah diri
sosial kemanusiaan,gais serius lihat nya sedih banget kadang orang bangga kalo rumahmobil karna capai orang kejar dunia musibah sodara paham milik allah
sosial kemanusiaan,hama hama jawa duka kirim bantu
sosial kemanusiaan,allah yg mha sgl nya smg sllu dlm lindung allah swt aamiin yra
pembalakan liar,juang papua hutan alam manfaat kaya alam yg tuhan hukum alam rusak olah manusia kaya dunia
sosial kemanusiaan,moga allah ganti rezeki luas moga sabar kuat perlindungandoa ku saudara yg dampak musibah semangat
alih fungsi hutan,sebab hutan gundul sampah sembarang
sosial kemanusiaan,astaghfirullah menang ya allah gak tega gimana hidup rmh lenyap kerja gak kaya gtu
sosial kemanusiaan,aceh aceh salah kota coba introspeksi kota yg berkah tuhan orang nya agama dgn
sosial kemanusiaan,amal yg ucap
perubahan iklim,tsunami aceh
pembalakan liar,klo sang milik ambilhanya kejap mata
komentar biasa,rahayu ton aceh
pembalakan liar,kejap mata allah yg sombong
sosial kemanusiaan,kalo harta benda gak arti
sosial kemanusiaan,yg salah manusia ini siklus bumi yg jalan juta tahunkita manusia numpang tinggal
sosial kemanusiaan,instropeksi diribanyak salah musibah betapa kecil hadap cipta
kebijakan pemerintah,bobby nasition yg usaha tambang atas
kebijakan pemerintah,kutuk keras perintah jawa
pembalakan liar,gk kutuk pemda yg doyan korupsikenapa
sosial kemanusiaan,bal banjir ginimereka ngatain bal yg negatif
perubahan iklim,ajar tuntun alam semesta saksi bisu langgar alam semesta yg tindak pandang bulu
sosial kemanusiaan,banyakbanyak syukur lo yg rebah nonton tiktok
alih fungsi hutan,sih yg sebab banjir bandang material kayu n lumpur krn hutan gundul
sosial kemanusiaan,salah barangkali tegur manusia hati hati alam moga saudara saudara kena bencana lindung nya situasi
pembalakan liar,allah maha tau kasih coba hukum peringatanmusibah suka salah orang laen intropeksi diribersabarlah saudara
sosial kemanusiaan,ya allah daya doa saudara dampar banjir kemaren sehat tabah hati ikhlas semangat dslam lanjut hidup aamiin
sosial kemanusiaan,hidup ribu sembahyang guna mobil ratus juta kena bencana apa daya
alih fungsi hutan,aceh negara manaya
sosial kemanusiaan,sayang mobil nya
komentar biasa,smg aceh membaikaamiin
sosial kemanusiaan,tuhan yesus lindung moga kondisi banjir bandang cepat pulih
perubahan iklim,moga jadi bencana alam manamana masyarakat sadar ngejaga alam ga buang sampah sembarang tertib ngelakuin apa sesuai atur hukum ga bilang nyusahin tegur orangperusahaan ngerusak alam ngawasintegurviralin jajar pemda biar benerin infrastrukturfasum ujung ga bikin banjir dll yaa moga beneran sadar ya netizen ga langsung amnesia kayak
sosial kemanusiaan,duka cita cepat pulih aceh
sosial kemanusiaan,inalillahi wa innailaihi rojiunya allah ampun hamba mu slmatknlh ya allah
sosial kemanusiaan,ya alloh tuhan ngak doa ampun
perubahan iklim,keri gak anggap bencana nasional
sosial kemanusiaan,ya allah ampun pulih tolong selamat kasihan tuhan
sosial kemanusiaan,mobil nya jalan
sosial kemanusiaan,ikan bawa mobilnyabukan jalan
sosial kemanusiaan,rusa mulyono emang
kebijakan pemerintah,bencana alam sala perintah aneh
pembalakan liar,yg kaya yg miskin serkrng derajat
sosial kemanusiaan,dunia yg kejar apa
sosial kemanusiaan,guys mohon bantu doa nya disumatera utara kota sibolga air listrik jalan putus bahan makan adu perintah respon orang orang kena bencana kasi lapar mohon bantu temab teman semua
sosial kemanusiaan,orang jawa hama duka cita doa saudara yg padang medan aceh moga lindung allah swt kasih selamat sehat banjir surut
sosial kemanusiaan,anggota jawa hama blok timur bela sungkawa besar moga bencana cepat smua warga negara aceh selamat sehat
perubahan iklim,ya allah banjir tp kaya tsunami
sosial kemanusiaan,innalilahi wa innailaihi rojiun
sosial kemanusiaan,liat akan sadar harta tuu titip
pembalakan liar,kaya sunam aceh ga si
kebijakan pemerintah,marah bgttt banjir bandang provinsi anggap remeh heran tp presiden nya aja dukung deforestasi
sosial kemanusiaan,ya alloh moga lindung alloh swt
pembalakan liar,skala udh kaya tsunami
sosial kemanusiaan,ya alloh ampun dosa anak cucu adek kamikeluarga sodara sahabat teman selamat jauh musibah bencana alam iniaamiin kunfayakun ya alloh aamiin yra
sosial kemanusiaan,pulau mu untung jadi semangat korban masyarakat lampung usaha bantu aceh sumbar sumut lampung menagdakan doa negara kumpul insyyallahh doa moga limpah sabar semangat saudara yg sana
sosial kemanusiaan,moga allah lindung saudara aamiin
sosial kemanusiaan,aq teman q ya allah yg parahselanatkan teman q keluarga ya allah
sosial kemanusiaan,y allah trs dunia
pembalakan liar,ulah jabat yg serakah dg dalih tambang utk sejahtera rakyat
kebijakan pemerintah,perintah daerah kutuk udah bener blm bnyk tambang ilegal klo udah beres daerah nuntut pusat
sosial kemanusiaan,teman doa ibu temu skrg udah iklas apa yg pgn bgt ketemu jasad peluk tau allah swttrimakasih org baik
sosial kemanusiaan,korban gitu status bencana nasional
sosial kemanusiaan,prayforsumatera prayforsumbar prayforsumut prayforaceh
sosial kemanusiaan,kampung aceh hilang pray for aceh
kebijakan pemerintah,gara gara jokowi anteknyah geng solo
kebijakan pemerintah,presiden baik
alih fungsi hutan,copot menhut henti operasi pembabataan hutan
perubahan iklim,si wowok enteng bilang kendali gaperlu status bencana nasional
sosial kemanusiaan,woi aceh ko engg perna up sma media
sosial kemanusiaan,korban status bencana nasional
sosial kemanusiaan,innalillaahi wa innailahi roojiun duka saudara yg dampak moga allaah lindung aamiin
sosial kemanusiaan,yaallah selamat saudara sulawesiaceh
pembalakan liar,yaallah beneran ampe yg md ama yg hilang
alih fungsi hutan,pray for sumatra
kebijakan pemerintah,bilang benjana gori bencana nasional warga sumatra nkri presiden sedih
sosial kemanusiaan,orang kalimantanya ampun udah ribu an lobelum bencana nasional
kebijakan pemerintah,korban tdk d tetap bencana nasional gilir jakarta mata kaki bencana nasional heran negeri konoha
sosial kemanusiaan,tlg tetap status bencana alam landa pulau sumatra bencana nasional
sosial kemanusiaan,ya allah lindung sodara sodari sumatera aceh kena musibah nya moga lekas reda aminn
sosial kemanusiaan,itu
sosial kemanusiaan,l e
perubahan iklim,bencana nasional
alih fungsi hutan,sedih muak gw liat kondisi negara gw cinta budaya tanah air jabat moga keluarga yg tinggal tabah kuat
sosial kemanusiaan,jahat banget udah parah tetap bencana nasional bantu ga pada turut ga puji bare minimum perintah contoh sri lanka korban jiwa aja udah darurat nasional loh fokus tuntut perintah bawa konflik horizontal
sosial kemanusiaan,korban bilang bencana nasional jabat nya tidur kali ya
sosial kemanusiaan,prayforsumatera prayforsumbar prayforsumut prayforaceh innalillahi allahuakbar
sosial kemanusiaan,besok suami berangkat sumatra tugas usaha kalimantan selatan moga allah lindung suami ku dimna ada
kebijakan pemerintah,mana perintah
sosial kemanusiaan,desember kota medan guyur hujan lagi
komentar biasa,alami mesin
komentar biasa,barang yg keras ban laku
sosial kemanusiaan,rakyat hnya suguh narasi bela diam
sosial kemanusiaan,beneragar ga protes
alih fungsi hutan,potong alami potong hujan
sosial kemanusiaan,hujan canggih bener
alih fungsi hutan,potong rapi ranting daun kayu cenderung kering kalo tumbang akar nya terusin lihat kalian
alih fungsi hutan,pohon tumbang tp ranting dahan udah gk ada emang air banjir motongin dahan ranting daun aja gk ada
kebijakan pemerintah,zulkifli hasan sadar gak sih laku
alih fungsi hutan,copot menteri hutan bertanggungjawab musibah yg timpa rakyat
alih fungsi hutan,alami bang hujan bawa mesin potong kayu mkny rapih gt murni alam mesin potong
kebijakan pemerintah,air aku antar bukti
pembalakan liar,ilegal logging bala liat
sosial kemanusiaan,betullsss
kebijakan pemerintah,air said antar barang bukti
alih fungsi hutan,tri hutan tugas jaga hutan biar lebat gak punah tri hutan tugas hilang hutan satu
komentar biasa,bener tu potong mesin
pembalakan liar,ga usa nyalahin hutan emng ulah pimpin yg haus uang
alih fungsi hutan,llah pohon bekas tebang murni patah
alih fungsi hutan,pohon tumbang mati d hutan alami pohon aja hanyu bawa air karna sangkut eleh pohon pohon d belah sasih hidup
alih fungsi hutan,kalo alami daun kulit kayu hanyut udah pad kelupas
alih fungsi hutan,potong rapi bawa banjir yg hancur
alih fungsi hutan,orang tuh pohon nya kompak rame rame tumbang pohon nya sdh janji reuni muara sungai
alih fungsi hutan,alami potong mesin sisa potong bekas tambang ya x bersih rapi rapuh klo emg bekas kena longsor
alih fungsi hutan,masyarakat berani tahan kayu gelondong gsnti rugi balak
sosial kemanusiaan,salah sungai sungai hilang mukim
alih fungsi hutan,rayap besi medan rayap kayu
pembalakan liar,tebang hutan
sosial kemanusiaan,prabowo milih bapa kasi rakyat
sosial kemanusiaan,gimana mulihin laut lagi
pembalakan liar,kemenhut alami tni ga deforestasi
alih fungsi hutan,pohon ga daun hahaha
alih fungsi hutan,alami
komentar biasa,alami mesin
kebijakan pemerintah,perintah lg sibuk mikirin sawit
komentar biasa,kepala bnpbcuma mencekkam sosmeddata
komentar biasa,udah bgini ntu jabat aj yg ngomong bencana rame medsos ya santai aj bro rakyat indonesia maaf gampang lupa
sosial kemanusiaan,ya allah orang tinggal banjir parah sih negara tetangga malaysia thailand filipina alfatihah korban bencan banjir doa nya
sosial kemanusiaan,ya allah tolong lindung saudara indonesia bencana malapetaka banjir gunung letus tanah longsor gempa
sosial kemanusiaan,prayforsumbar prayforsumut prayforaceh
sosial kemanusiaan,bahlil mn diam
sosial kemanusiaan,ya allah nyesek bgtttt
komentar biasa,aceh
sosial kemanusiaan,kampung hilang aceh
komentar biasa,negara ni bang gak siar televisi indonesia
sosial kemanusiaan,maaf jadi negara iyananyak nada lembut
sosial kemanusiaan,lekas sembuh sumatra
sosial kemanusiaan,atur orang tinggal tetap bencana nasionsl
sosial kemanusiaan,mana mereka
kebijakan pemerintah,perintah anj
alih fungsi hutan,medan banjir hujan deras
komentar biasa,yg kta ny aj
kebijakan pemerintah,korban mna klk blh tau
sosial kemanusiaan,ya allah
sosial kemanusiaan,poko salah jule
sosial kemanusiaan,resetindonesia
alih fungsi hutan,pray for sumatera
sosial kemanusiaan,korban status bencana nasional btw yg join wfh skintific skincare gaji hari ga
kebijakan pemerintah,yg stadion kanjuruhan perintah acuh acuhhh
alih fungsi hutan,hutan gundul masyarakat aja ga yg demo mahasiswa nya kaya gitu nyalahin perintah
kebijakan pemerintah,polisi bantu masarakat
sosial kemanusiaan,professor
kebijakan pemerintah,perintah izin
sosial kemanusiaan,the power ferry irwandi
kebijakan pemerintah,duit yg perintah hasil pajak rakyat lari mana yak
sosial kemanusiaan,donasi potong pajak ga min
sosial kemanusiaan,rakyat rakyat
kebijakan pemerintah,guna ferry irwandi drpd zulkifli hasan
sosial kemanusiaan,ujung nya rakyat bantu rakyat umur orang
kebijakan pemerintah,perintah gak suka
sosial kemanusiaan,rakyat batu rakyat
sosial kemanusiaan,yap rakyat rakyat
sosial kemanusiaan,rakyat bantu rakyat
kebijakan pemerintah,ferry perintah
sosial kemanusiaan,nga umum hasil nya ntar dipajakin kompeni
sosial kemanusiaan,ujung rakyat rakyat
kebijakan pemerintah,klo dpr donasi nama dpr duit juga
sosial kemanusiaan,moga saudara bantu dana donasi
sosial kemanusiaan,terimakasih orangorang mashaallah ya alloh
pembalakan liar,minggu tetes air mata makan depan kadang gak sentuh gak enak makan gak lapar kepala yg hati menang hati sakit saudara sumatera derita korban banjir ntt doa air mata tuhan tolong
sosial kemanusiaan,maaf negara tetangga
sosial kemanusiaan,prayforsumatera prayforsumbar prayforsumut prayforaceh
kebijakan pemerintah,perintah diam
sosial kemanusiaan,bencana nasional hormat tu
sosial kemanusiaan,darurat
komentar biasa,kalo darurat nasional nati masuk berita internasional kalo masuk berita internasional tau gundul hutan
pembalakan liar,temen ku aceh ngk kbr hidup ngk ya meseger ngk merespondi tlp ngk
sosial kemanusiaan,free sumatra
sosial kemanusiaan,coba anda dpr anggota ferry irwandi windah basudara reza arap
kebijakan pemerintah,gin percaya ferry irwandi sii perintah
pembalakan liar,ni orang asli op
pembalakan liar,sampe yusuf mansyur tau ikut
kebijakan pemerintah,beli makan butuh salur masyaraka
kebijakan pemerintah,ati nnti potong pajak ama perintah konoha
alih fungsi hutan,ni org kalo jabat op parah sih ketar tir oknum oknum
kebijakan pemerintah,moga gak perintah dalih pajak
alih fungsi hutan,tapteng sibolga parah jalan putus engga jalan hubung kota kabupaten bantu kunjung bungkus supermi
sosial kemanusiaan,makas uda fery tim moga bantu lekas salir yg butuh
kebijakan pemerintah,perintah rakyat kaya ya naikin pajak a
kebijakan pemerintah,dpr nih berani gak uang gaji bulan sumbang korban bencana
alih fungsi hutan,kayu ko daunya gada satu
sosial kemanusiaan,ya allah
sosial kemanusiaan,mikir orang yg selamat hutang bank hitung lunas kasihan klo bayar hutang
pembalakan liar,ya allah kuat orang orang yg hadap situasi ganti harta benda hilang pulih jiwa yg baik telah
sosial kemanusiaan,ya allah maaf hamba mu tdk bantu tindak doa yg kirim
sosial kemanusiaan,ya tuhan musibah negeri ku gak habis cara tegur
perubahan iklim,bener ya air tanah hari ijin allah lenyap manusia tpi kali allah bilang tunggu tau hamba yng taubat ny allah bilng gerak
pembalakan liar,rumah
sosial kemanusiaan,cepat pulih
sosial kemanusiaan,gimana ya kabar mantan skrng ga blas cht njirrr
sosial kemanusiaan,no one can stop wen god is angry hi is destroyed every thing in one second
alih fungsi hutan,ya allah moga aja sumatera pulih lagi
sosial kemanusiaan,gapapa deh cuman banjir dikit doang iklaskan aja
sosial kemanusiaan,sebab banjir bandang
sosial kemanusiaan,maaf bantu ya hulu sungai debit air ngak tahan sungai sungai meluapkarena hujan ngak berhentihenti henti jam hujan daerah bukit atas curah hujan ditambaj hutan hilang curah hujan sungaisungai ngak tampung cari jalur mukim warga rumah hanyut curah hujan air sungai parah
sosial kemanusiaan,innalillahi wainnailahi rojiun
sosial kemanusiaan,yg ga lupa umur hidup sunam aceh gempa lombok ntb banjir sumatra banjir acehh
sosial kemanusiaan,prayforsumatera prayforsumbar prayforsumut prayforaceh
sosial kemanusiaan,kasihan
sosial kemanusiaan,tolong adil seadiladilnya akhirat ya allah
alih fungsi hutan,banjir sana tu ga bawa sampah loh bawa kayu kayu gin sih perintah gak mikir gara banjir
sosial kemanusiaan,perhati rawat bumi yg tinggal
sosial kemanusiaan,percaya bang pohon tumbang air hujan yg bawa gergaji
sosial kemanusiaan,ku tuntut perintah akherat kelak
sosial kemanusiaan,tuhan yg dunia
sosial kemanusiaan,adil yg libat babat hutan akhirat dunia yaallah
pembalakan liar,pandawara angkat tangan
kebijakan pemerintah,air said suruh tuhan nganterin barang bukti guyss apaapa salah
alih fungsi hutan,lihat hp aja udah kesel cape marah dampak yg sana saksi langsung kayu sera krn ulah oknum manusia
sosial kemanusiaan,ya allah sembuh negeri
sosial kemanusiaan,nebang pohon gk pkr nyawa manusia
pembalakan liar,sakit hati bgt liat
pembalakan liar,up teruss guyss sampe internasional
pembalakan liar,barang bukti jelas jahat kuak
pembalakan liar,lihat alam akibat serakah manusia
alih fungsi hutan,potong rapi plus nomor hebat kali pohon nulis nomor bad
alih fungsi hutan,rem banget banjir kayu
alih fungsi hutan,ngga banjir bikin gelondong kayu nya bersih ukur kalo ngga karna babat habis
sosial kemanusiaan,bikin sedih tuu ga merdeka dri okmunpemerintah sendiri
sosial kemanusiaan,allah tunjuk bukti nya perintah tutup mata sakit hati banget lihat ya allah
alih fungsi hutan,kalo jakarta banjir yg hanyut sampah kalo kalimantan yg hanyut kayu parah sih kalo perintah diem diem aja
alih fungsi hutan,kayu yg layak pakai ambil aja bang bantu warga klo bangun ulang renov rumah yg rusak
alih fungsi hutan,asa ngeliat jenazah pohon sedih sih
sosial kemanusiaan,rapi nomor
alih fungsi hutan,nalar kalok kayu tumbang banjirapakah bersih serap dahan
perubahan iklim,bener ya airgunung tanah x ijin allah lenyap manusia tpi kali allah bilang tunggu tau hamba yng taubat ny allah bilng gerak
kebijakan pemerintah,air said antar barang bukti
pembalakan liar,harimau sumatera mati bawa arus bom satwa langka
sosial kemanusiaan,bukti tonton gratis
sosial kemanusiaan,kalimantan barat
perubahan iklim,fiks alam gak mungkin yg potong tepotong arus yg deras trus kena toko cat nomor fiks gw banget
kebijakan pemerintah,gak lgsg buka kasus ya gak gera apa negara si luhut
pembalakan liar,ywd kayuny korban bikin rumah aja ga sih
alih fungsi hutan,pabrik nya ya g mgkin kalo kelas tebang kayu
alih fungsi hutan,oh yg kemarin kayu roboh longsor rapi ya potong
alih fungsi hutan,banjir tajam tauu kayak piso jd wajar aja bg pohon potong
kebijakan pemerintah,barang bukti perintah sadar
alih fungsi hutan,tinggal gesek aja kayu bangun rumah masy
alih fungsi hutan,izin opini banyak rumah warga yg rusak kayu yg tebar kelolah bangun rumah warga hancur dalang temu biar kayu penting masyarakat
sosial kemanusiaan,video clip michael jackson earth song gambar
alih fungsi hutan,potong alami lho masak gak yg percaya
alih fungsi hutan,rakyat suruh buang sampah sampah biar g banjir perintah bikin banjir kayu gelondong
sosial kemanusiaan,sadar yg anak tunggal anak tunggal bantu bumi beban bumi banyak populasi manusia yg pilih tinggal rumah yg bangun lahan baru salah bentuk selamat bumi jujur banget buka lahan rumah tapiii bangun bengkalai kosong rusak daan jual makan pikir packaging after konsumsi jd salah selamat bumi hindar sterofoam plastik bisa daur ulang yg kepake ber kali aman pakai
sosial kemanusiaan,sadar gk pohon ny nomor
alih fungsi hutan,truk kayu benerin rumah
alih fungsi hutan,ambil aja kak gratis
pembalakan liar,moga tebang kalimantan sadar
sosial kemanusiaan,yaallah yg bertsnggung kpd yg lihat dri hp kesel bgt marah kecewa yg kena dampak kasihan bgt
sosial kemanusiaan,sedih banget liat indonesia
kebijakan pemerintah,viral up bantu gpp nama publikasi biar perintah tau kdg sangking sibuk ga tau bencana
kebijakan pemerintah,perintah tonton sumatra landa bencanalain klo pulau jawa landa bencana bantu cpat mengalirapa sumatra indonesia
alih fungsi hutan,pray for sumatera
sosial kemanusiaan,ingat allah jadi masjid agung sibolga
alih fungsi hutan,banjir bawa kayu kayu glundungan ya allah moga cepet dpt bantu banjir reda aamiin
sosial kemanusiaan,duit tebang phon sembarang nikmat duitny kena imbas rakyat
pembalakan liar,ai sih
pembalakan liar,ai dateng langsung aja lokasi
sosial kemanusiaan,stayy fokuss
sosial kemanusiaan,ya allah lindung saudarasaudari
sosial kemanusiaan,warga asli papua tentang program perintah bisnis pribadi tebang hutan kamikarna tdk alami saudara dliuar pulau papua indonesia moga cepat pulih sumatera utara aceh korban sehat yaselalu lindung tuhan ya
pembalakan liar,akibat dampak mulyono boby
alih fungsi hutan,efek gundulim hutan kebun sawitpemerintah tanggung
kebijakan pemerintah,tolong perintah utama kena bencana
sosial kemanusiaan,tuhan yesus lindung saudara kami
kebijakan pemerintah,jngan perintah hancurlan hutan lindung rakyat tpi hallo perintah lihat gimana tanggung jwab luas hancur hutan
sosial kemanusiaan,hulu hutan sdh bbat habis kena dampak
pembalakan liar,prabowo ga sumatera ya orang sumatera salah pilih kasih gin
sosial kemanusiaan,tinggal sholat
sosial kemanusiaan,ya allahlindungilah saudara
alih fungsi hutan,yg salah oknum oknum yg babat hutan ganti lahan sawit yg buanh sampah sembarang
sosial kemanusiaan,yg usaha enak enak kamar yg berac warga rasa bencana
alih fungsi hutan,ko kayu glondongan
sosial kemanusiaan,allah swt buat manusia
alih fungsi hutan,hutan gundul air terjun bebas halang
